customer_id,name,age,income_band,city,signup_date
1,Aarav Mehta,60,Premium,Hyderabad,2023-07-26
2,Ananya Agarwal,69,Low,Chandigarh,2024-04-06
3,Rohan Patel,51,Premium,Hyderabad,2024-04-18
4,Aarav Kapoor,42,High,Pune,2024-02-17
5,Aditya Gupta,18,High,Delhi,2024-02-24
6,Priya Kumar,53,Low,Chandigarh,2023-10-02
7,Sneha Mehta,70,Medium,Mumbai,2023-05-05
8,Sneha Mehta,26,Medium,Pune,2023-11-25
9,Priya Sharma,32,Medium,Chennai,2024-06-26
10,Neha Agarwal,48,Low,Kolkata,2024-02-06
11,Priya Singh,48,Premium,Chandigarh,2023-05-14
12,Vivaan Kumar,42,Low,Hyderabad,2023-06-09
13,Sneha Kapoor,26,High,Pune,2024-06-09
14,Rohan Patel,46,Low,Mumbai,2023-03-12
15,Priya Agarwal,47,High,Hyderabad,2023-04-22
16,Rohan Verma,28,High,Bangalore,2023-04-05
17,Aarav Jain,53,Low,Chennai,2023-12-09
18,Neha Gupta,68,Medium,Pune,2023-07-30
19,Neha Patel,23,Low,Kolkata,2024-03-05
20,Aditya Kapoor,22,Low,Pune,2023-01-12
21,Vivaan Mehta,50,Medium,Chandigarh,2024-01-24
22,Sneha Singh,63,High,Kolkata,2024-04-14
23,Aarav Kumar,23,High,Chandigarh,2024-01-26
24,Rohan Patel,72,High,Pune,2023-12-31
25,Ananya Mehta,45,High,Pune,2024-05-12
26,Sneha Sharma,24,Medium,Pune,2023-07-21
27,Harshit Agarwal,43,Premium,Chennai,2023-06-19
28,Rohan Gupta,43,Premium,Delhi,2023-07-12
29,Priya Sharma,40,Medium,Kolkata,2023-06-03
30,Sneha Kapoor,51,Premium,Chandigarh,2023-08-21
31,Rahul Mehta,32,Premium,Hyderabad,2023-01-16
32,Harshit Kumar,75,High,Delhi,2023-09-28
33,Rohan Singh,34,High,Kolkata,2023-12-13
34,Rahul Singh,68,Low,Chandigarh,2023-07-26
35,Aarav Agarwal,65,Low,Chennai,2023-09-09
36,Sneha Sharma,42,Low,Bangalore,2024-06-21
37,Rohan Sharma,29,Low,Bangalore,2023-07-31
38,Ananya Agarwal,74,High,Hyderabad,2023-01-19
39,Harshit Verma,51,Low,Delhi,2023-01-20
40,Priya Kapoor,37,Medium,Delhi,2024-01-10
41,Rahul Agarwal,26,Medium,Bangalore,2024-02-19
42,Vivaan Patel,37,Low,Pune,2023-11-20
43,Ananya Mehta,55,High,Hyderabad,2023-08-28
44,Aarav Singh,47,High,Chennai,2023-07-31
45,Sneha Patel,21,Low,Hyderabad,2023-02-03
46,Rohan Patel,63,Medium,Bangalore,2023-01-15
47,Neha Singh,36,Medium,Delhi,2023-10-31
48,Neha Verma,29,Medium,Bangalore,2024-02-05
49,Aditya Kapoor,58,Low,Delhi,2023-06-24
50,Ananya Sharma,61,Low,Hyderabad,2023-01-17
51,Neha Sharma,65,Low,Bangalore,2024-03-26
52,Neha Gupta,18,High,Chennai,2024-01-28
53,Sneha Mehta,40,Medium,Kolkata,2023-05-04
54,Sneha Kapoor,33,Medium,Chennai,2023-12-25
55,Rohan Mehta,51,Medium,Hyderabad,2023-10-13
56,Aditya Mehta,74,Medium,Kolkata,2023-06-04
57,Priya Agarwal,24,High,Chennai,2023-12-19
58,Priya Jain,56,Low,Chandigarh,2023-04-09
59,Aarav Sharma,43,Medium,Delhi,2024-03-21
60,Aditya Sharma,44,Low,Bangalore,2023-10-23
61,Rohan Kapoor,72,Low,Bangalore,2024-03-05
62,Ananya Agarwal,60,High,Pune,2023-06-16
63,Neha Jain,23,High,Pune,2023-07-16
64,Aarav Mehta,43,High,Pune,2024-03-12
65,Priya Kapoor,61,Medium,Chandigarh,2024-03-07
66,Priya Jain,24,High,Delhi,2023-05-08
67,Aarav Jain,47,Low,Chandigarh,2023-02-27
68,Sneha Singh,46,Low,Bangalore,2024-06-01
69,Ananya Gupta,22,Medium,Bangalore,2023-09-14
70,Harshit Agarwal,73,High,Bangalore,2023-02-21
71,Rahul Verma,39,Low,Pune,2023-10-27
72,Aditya Agarwal,33,Low,Chandigarh,2023-05-15
73,Rahul Patel,23,Low,Kolkata,2023-10-18
74,Aarav Verma,21,Medium,Delhi,2023-09-24
75,Neha Gupta,29,Medium,Chandigarh,2023-12-24
76,Neha Verma,60,High,Chennai,2023-09-13
77,Rahul Verma,33,Low,Delhi,2023-03-30
78,Rohan Kapoor,44,Medium,Chennai,2024-04-29
79,Vivaan Jain,56,Medium,Chandigarh,2024-02-26
80,Priya Mehta,37,Low,Kolkata,2023-01-11
81,Rahul Kapoor,41,Low,Kolkata,2024-05-27
82,Rohan Agarwal,46,Low,Kolkata,2024-03-10
83,Rohan Patel,70,High,Hyderabad,2024-01-15
84,Harshit Sharma,71,Low,Mumbai,2023-03-24
85,Harshit Gupta,34,High,Pune,2023-10-18
